date,game_id,home_team,away_team,BetMGM_home_point,BetMGM_home_price,BetMGM_away_point,BetMGM_away_price,BetOnline.ag_home_point,BetOnline.ag_home_price,BetOnline.ag_away_point,BetOnline.ag_away_price,BetRivers_home_point,BetRivers_home_price,BetRivers_away_point,BetRivers_away_price,BetUS_home_point,BetUS_home_price,BetUS_away_point,BetUS_away_price,Bovada_home_point,Bovada_home_price,Bovada_away_point,Bovada_away_price,DraftKings_home_point,DraftKings_home_price,DraftKings_away_point,DraftKings_away_price,FanDuel_home_point,FanDuel_home_price,FanDuel_away_point,FanDuel_away_price,LowVig.ag_home_point,LowVig.ag_home_price,LowVig.ag_away_point,LowVig.ag_away_price,MyBookie.ag_home_point,MyBookie.ag_home_price,MyBookie.ag_away_point,MyBookie.ag_away_price
2025-12-05,61feabe0b59a9dba9be076c59ecd125d,Boston Celtics,Los Angeles Lakers,-8.5,-110,8.5,-110,-8.5,-110,8.5,-110,-8.0,-114,8.0,-112,-8.5,-110,8.5,-110,-8.5,-110,8.5,-110,-8.5,-108,8.5,-112,-8.5,-110,8.5,-110,-8.5,-106,8.5,-106,-8.5,-110,8.5,-110
2025-12-05,aeb6990f23d3e646900b2ec784699724,Orlando Magic,Miami Heat,-5.5,-118,5.5,-102,-5.5,-115,5.5,-105,-5.5,-113,5.5,-113,-5.5,-110,5.5,-110,-5.5,-110,5.5,-110,-6.5,-105,6.5,-115,-5.5,-110,5.5,-110,-5.5,-111,5.5,-101,-5.5,-110,5.5,-110
2025-12-05,ffa09b2ad58a00b66f7d0aa16322155c,Atlanta Hawks,Denver Nuggets,5.5,-115,-5.5,-105,5.0,-110,-5.0,-110,5.0,-112,-5.0,-114,5.0,-110,-5.0,-110,5.0,-110,-5.0,-110,5.5,-105,-5.5,-115,5.0,-110,-5.0,-110,5.0,-106,-5.0,-106,5.0,-110,-5.0,-110
2025-12-05,3dbed56c1ac1346d2a640d9eaec4ef31,Toronto Raptors,Charlotte Hornets,-7.5,-105,7.5,-115,-7.0,-114,7.0,-106,-7.5,-110,7.5,-115,-7.0,-110,7.0,-110,-7.0,-110,7.0,-110,-7.5,-105,7.5,-115,-7.0,-110,7.0,-110,-7.0,-110,7.0,-102,-7.0,-110,7.0,-110
2025-12-05,f9c82c36144a08ddd0c7a4f041dae9e8,Cleveland Cavaliers,San Antonio Spurs,-3.5,-110,3.5,-110,-3.5,-110,3.5,-110,-4.0,-110,4.0,-115,-3.5,-110,3.5,-110,-3.5,-110,3.5,-110,-3.5,-110,3.5,-110,-3.5,-110,3.5,-110,-3.5,-106,3.5,-106,-3.5,-110,3.5,-110
2025-12-05,19703e305f3608fac5c658043d7d6d13,Detroit Pistons,Portland Trail Blazers,-7.5,-115,7.5,-105,-8.0,-106,8.0,-114,-7.5,-112,7.5,-113,-7.5,-110,7.5,-110,-7.5,-105,7.5,-115,-7.5,-115,7.5,-105,-7.5,-114,7.5,-106,-8.0,-102,8.0,-110,-7.5,-110,7.5,-110
2025-12-05,7356d0e5e6178ea403706b3d0d668731,New York Knicks,Utah Jazz,-15.5,-105,15.5,-115,-15.5,-115,15.5,-105,-16.0,-112,16.0,-114,-15.5,-110,15.5,-110,-15.5,-115,15.5,-105,-15.5,-110,15.5,-110,-16.0,-106,16.0,-114,-15.5,-111,15.5,-101,-15.5,-110,15.5,-110
2025-12-05,091237ab322a19a025b7954a6b5fb248,Chicago Bulls,Indiana Pacers,-4.5,-110,4.5,-110,-4.5,-110,4.5,-110,-4.5,-115,4.5,-109,-4.5,-110,4.5,-110,-4.5,-110,4.5,-110,-4.5,-108,4.5,-112,-4.5,-110,4.5,-110,-4.5,-106,4.5,-106,-4.5,-110,4.5,-110
2025-12-05,7b907d2230835c551697af3a8e160d99,Houston Rockets,Phoenix Suns,-10.5,-110,10.5,-110,-10.5,-110,10.5,-110,-10.5,-113,10.5,-113,-10.5,-110,10.5,-110,-10.5,-115,10.5,-105,-10.5,-110,10.5,-110,-10.5,-112,10.5,-108,-10.5,-106,10.5,-106,-10.5,-110,10.5,-110
2025-12-05,eb592fd992868ca6969361169aa7f107,Memphis Grizzlies,Los Angeles Clippers,2.5,-115,-2.5,-105,2.0,-110,-2.0,-110,2.0,-117,-2.0,-109,2.0,-110,-2.0,-110,2.0,-115,-2.0,-105,2.5,-115,-2.5,-105,1.5,-108,-1.5,-112,2.0,-106,-2.0,-106,2.0,-110,-2.0,-110
2025-12-05,6f0f84ac9e8f4b28201d84feade66964,Milwaukee Bucks,Philadelphia 76ers,1.5,-110,-1.5,-110,1.5,-105,-1.5,-115,1.0,-112,-1.0,-114,1.5,-110,-1.5,-110,1.5,-110,-1.5,-110,1.5,-110,-1.5,-110,1.0,-108,-1.0,-112,1.5,-101,-1.5,-111,1.5,-110,-1.5,-110
2025-12-05,8d3418eef90a481a997f274ad5b93c8e,Oklahoma City Thunder,Dallas Mavericks,-15.5,-105,15.5,-115,-15.5,-105,15.5,-115,-15.5,-114,15.5,-112,-15.5,-110,15.5,-110,-15.5,-110,15.5,-110,-15.5,-105,15.5,-115,-15.5,-112,15.5,-108,-15.5,-101,15.5,-111,-15.0,-110,15.0,-110
2025-12-05,099fbdb7f4738db6e1f5b7889ab3d707,Orlando Magic,Miami Heat,,,,,,,,,-5.5,-110,5.5,-115,,,,,,,,,-5.5,-115,5.5,-105,-5.5,-114,5.5,-106,,,,,,,,
2025-12-05,582a77bcdc5401a29e263ffed5d26609,Toronto Raptors,New York Knicks,,,,,,,,,2.0,-110,-2.0,-115,,,,,,,,,2.5,-115,-2.5,-105,3.0,-110,-3.0,-110,,,,,,,,
2025-12-05,9373b84d11358f66f18562222dbf5f42,Oklahoma City Thunder,Phoenix Suns,,,,,,,,,-16.0,-113,16.0,-112,,,,,,,,,-15.5,-115,15.5,-105,-16.0,-110,16.0,-110,,,,,,,,
2025-12-05,2031f79c4dd229576855fb346449a8d4,Los Angeles Lakers,San Antonio Spurs,,,,,,,,,-3.5,-112,3.5,-114,,,,,,,,,-3.5,-110,3.5,-110,-3.5,-110,3.5,-110,,,,,,,,
